SLR (m), Pchng (cm), pi, N_d, SD, SE
0.46,0.2,0.4,10.65,3.233,0.229
0.46,0.2,0.5,9.6,3.122,0.221
0.48,0.2,0.1,19.815,4.107,0.29
0.48,0.2,0.2,15.93,3.908,0.276
0.48,0.2,0.3,13.885,3.526,0.249
0.48,0.2,0.4,12.37,3.357,0.237
0.48,0.2,0.5,11.06,3.309,0.234
0.5,0.2,0.1,22.405,4.435,0.314
0.5,0.2,0.2,18.46,4.019,0.284
0.5,0.2,0.3,15.935,3.909,0.276
0.5,0.2,0.4,14.28,3.59,0.254
0.5,0.2,0.5,12.85,3.421,0.242
0,0.3,0.1,1.375,1.242,0.088
0,0.3,0.2,1.145,1.171,0.083
0,0.3,0.3,1.015,1.109,0.078
0,0.3,0.4,0.93,1.082,0.077
0,0.3,0.5,0.84,0.995,0.07
0.02,0.3,0.1,1.545,1.279,0.09
0.02,0.3,0.2,1.325,1.211,0.086
0.02,0.3,0.3,1.18,1.181,0.084
0.02,0.3,0.4,1.075,1.143,0.081
0.02,0.3,0.5,0.995,1.1,0.078
0.04,0.3,0.1,1.78,1.368,0.097
0.04,0.3,0.2,1.485,1.26,0.089
0.04,0.3,0.3,1.335,1.217,0.086
0.04,0.3,0.4,1.21,1.18,0.083
0.04,0.3,0.5,1.12,1.163,0.082
0.06,0.3,0.1,2.095,1.444,0.102
0.06,0.3,0.2,1.71,1.336,0.094
0.06,0.3,0.3,1.55,1.287,0.091
0.06,0.3,0.4,1.42,1.266,0.089
0.06,0.3,0.5,1.305,1.2,0.085
0.08,0.3,0.1,2.405,1.582,0.112
0.08,0.3,0.2,1.99,1.449,0.102
0.08,0.3,0.3,1.735,1.351,0.095
0.08,0.3,0.4,1.58,1.305,0.092
0.08,0.3,0.5,1.485,1.276,0.09
0.1,0.3,0.1,2.69,1.618,0.114
0.1,0.3,0.2,2.3,1.53,0.108
0.1,0.3,0.3,2.025,1.465,0.104
0.1,0.3,0.4,1.83,1.393,0.099
0.1,0.3,0.5,1.665,1.35,0.095
0.12,0.3,0.1,2.96,1.653,0.117
0.12,0.3,0.2,2.595,1.607,0.114
0.12,0.3,0.3,2.335,1.541,0.109
